pixel_id,latitude,longitude,classe_pixel,classe_pixel_significado,categoria_agua,qualidade_pixel,distancia_min_exutorio_m,janela_2km,janela_5km,janela_10km
86783,-15.494475456630187,-47.967553363235034,1,land,terra,1,4709.582986843988,False,True,True
86784,-15.494463359098123,-47.967632210777765,1,land,terra,1,4709.103603217141,False,True,True
86785,-15.493697849184668,-47.972621027718844,1,land,terra,1,4710.505904982814,False,True,True
86786,-15.493737543999035,-47.97236235887897,1,land,terra,1,4708.897539826098,False,True,True
86787,-15.493727495003453,-47.97242784474565,1,land,terra,1,4709.288860561486,False,True,True
86788,-15.493764108356403,-47.97218925475585,1,land,terra,1,4707.91470430767,False,True,True
86789,-15.493769660595806,-47.972153074914274,1,land,terra,3,4707.718751293849,False,True,True
86790,-15.493738522351169,-47.97235598979506,1,land,terra,1,4708.859943106176,False,True,True
86791,-15.494578304950085,-47.96688305139662,1,land,terra,2049,4714.28566902073,False,True,True
86792,-15.493852096213336,-47.97161608422243,1,land,terra,1,4705.192944519251,False,True,True
86793,-15.493859975288158,-47.97156482727024,1,land,terra,1,4704.988508253982,False,True,True
86794,-15.493830733275,-47.97175547581247,1,land,terra,3,4705.775200281229,False,True,True
86795,-15.493761126787325,-47.97220916098263,1,land,terra,2049,4708.015845603752,False,True,True
86796,-15.493674502124064,-47.97277373718305,1,land,terra,2049,4711.524329740769,False,True,True
86797,-15.493750417137182,-47.972279127538,1,land,terra,1,4708.4045377630655,False,True,True
86798,-15.493707934146268,-47.97255605611906,1,land,terra,3,4710.073557792004,False,True,True
86799,-15.493744128518163,-47.9723202842257,1,land,terra,2049,4708.637674857594,False,True,True
86800,-15.493887122255542,-47.97138853749033,1,land,terra,2049,4704.330416886708,False,True,True
86801,-15.493906936500736,-47.97125950183556,1,land,terra,1,4703.904327785607,False,True,True
86802,-15.493901906549807,-47.97129236910746,1,land,terra,1,4704.007021009761,False,True,True
86803,-15.494079324474521,-47.97013625008259,2,land_near_water,terra_proxima_agua,1,4701.9722725379115,False,True,True
86804,-15.493042627065094,-47.97689172953602,2,land_near_water,terra_proxima_agua,0,4761.036448693888,False,True,True
86805,-15.49105653218689,-47.98983485422258,3,water_near_land,agua,4,5172.211769805767,False,False,True
86806,-15.491183050946747,-47.98901093334149,2,land_near_water,terra_proxima_agua,0,5135.5285258039075,False,False,True
86807,-15.49041385579939,-47.994022040943946,1,land,terra,2,5377.833969819628,False,False,True
86808,-15.490462885576974,-47.993702768836215,1,land,terra,3,5361.06903737143,False,False,True
86809,-15.490934580573036,-47.99063096144056,1,land,terra,3,5208.843377881399,False,False,True
86810,-15.490851750948561,-47.99117040029433,1,land,terra,3,5234.353265725406,False,False,True
86811,-15.4905987451774,-47.99281806215902,1,land,terra,2051,5315.521694855888,False,False,True
86812,-15.490625907157982,-47.99264118491561,1,land,terra,2049,5306.57778606951,False,False,True
86813,-15.490743497280977,-47.99187541260926,1,land,terra,2051,5268.491245867041,False,False,True
86814,-15.49086606614499,-47.99107719700271,1,land,terra,2049,5229.907174125233,False,False,True
86815,-15.490912233270882,-47.99077653737231,1,land,terra,2051,5215.674344638423,False,False,True
86816,-15.489932039743787,-47.99715947041926,1,land,terra,2049,5551.441453091545,False,False,True
86817,-15.487122054110507,-48.01545888933873,1,land,terra,3,6820.7340082703,False,False,True
86818,-15.486971917281405,-48.016435912389454,1,land,terra,1,6898.089541490348,False,False,True
86819,-15.486718645809958,-48.01808398243668,1,land,terra,1,7030.28562721417,False,False,True
86820,-15.484883589706353,-48.030027046833425,1,land,terra,2051,8042.810601721284,False,False,True
86821,-15.484785923198526,-48.03066230148164,1,land,terra,2051,8098.958797829787,False,False,True
86822,-15.48474330738139,-48.03093949346652,1,land,terra,2049,8123.521333020241,False,False,True
86823,-15.484687678318977,-48.03130132092116,1,land,terra,2049,8155.639986422093,False,False,True
86824,-15.484703511226082,-48.03119836028242,1,land,terra,2049,8146.4936861173,False,False,True
86825,-15.48558385885552,-48.025472089489426,1,land,terra,2049,7646.418114826523,False,False,True
86826,-15.485662894477219,-48.02495799412975,1,land,terra,2049,7602.40780110983,False,False,True
86827,-15.483267909762699,-48.04053861872603,1,land,terra,2049,8995.047083216057,False,False,True
86828,-15.483246884234491,-48.04067533601301,1,land,terra,2051,9007.725375272405,False,False,True
86829,-15.483180185097407,-48.041109019784756,1,land,terra,2049,9047.986797559804,False,False,True
86830,-15.483108503201192,-48.04157509604665,1,land,terra,1,9091.32941530939,False,False,True
86831,-15.483164743411438,-48.041209444074525,1,land,terra,3,9057.319038042022,False,False,True
86832,-15.483438454407759,-48.0394298545084,1,land,terra,2,8892.47560689774,False,False,True
86833,-15.483468674804307,-48.03923338094103,1,land,terra,1,8874.347102888582,False,False,True
86834,-15.483431816007993,-48.039473076715694,1,land,terra,2,8896.46491353849,False,False,True
86835,-15.483418259254583,-48.039561259587515,1,land,terra,1,8904.607071214858,False,False,True
86836,-15.483228103797664,-48.04079770132404,1,land,terra,3,9019.075700502142,False,False,True
86837,-15.483269753820291,-48.04052693132786,1,land,terra,2051,8993.960220220337,False,False,True
86838,-15.48308016280006,-48.04175967376659,1,land,terra,2049,9108.511724759584,False,False,True
86839,-15.482181496833189,-48.04760507032495,1,land,terra,1,9658.501933687643,False,False,True
86840,-15.482177897666372,-48.04762852955935,1,land,terra,1,9660.729868483279,False,False,True
86841,-15.482141893578415,-48.04786278707371,1,land,terra,3,9682.99051505544,False,False,True
86842,-15.482119311401416,-48.04800965920368,1,land,terra,1,9696.955906186995,False,False,True
86843,-15.482044620908576,-48.04849521965019,1,land,terra,0,9743.171755866975,False,False,True
86844,-15.482261278465234,-48.047087444571105,1,land,terra,1,9609.358481456855,False,False,True
86845,-15.482142887591483,-48.04785706946723,1,land,terra,1,9682.439133418698,False,False,True
86846,-15.482094717679459,-48.048170213739354,1,land,terra,1,9712.223086724367,False,False,True
86847,-15.482032993406888,-48.0485715402304,1,land,terra,1,9750.434427630444,False,False,True
86848,-15.481944734124124,-48.04914526814218,1,land,terra,3,9805.14060452094,False,False,True
86849,-15.481666337853964,-48.05095488487126,1,land,terra,1,9978.283083217066,False,False,True
86850,-15.481716094063001,-48.05063152914539,1,land,terra,1,9947.279492997608,False,False,True
86851,-15.481805291292533,-48.05005179772264,1,land,terra,3,9891.76465348338,False,False,True
86852,-15.481879858252167,-48.04956716463869,1,land,terra,1,9845.425852780896,False,False,True
86853,-15.500021623919396,-47.930075269547046,1,land,terra,3,6147.055537572141,False,False,True
86854,-15.499952726103587,-47.93052486648521,1,land,terra,3,6123.962023058064,False,False,True
86855,-15.50076811757411,-47.92520362118308,1,land,terra,3,6415.860303229571,False,False,True
86856,-15.500681207102732,-47.92577084895851,1,land,terra,3,6382.884147397166,False,False,True
86857,-15.500751123157672,-47.925314546818925,1,land,terra,3,6409.378127749404,False,False,True
86858,-15.499967814700868,-47.93042642754472,1,land,terra,3,6128.992143959598,False,False,True
86859,-15.500221482354668,-47.9287710899693,1,land,terra,1,6215.7333594818565,False,False,True
86860,-15.500307719795028,-47.92820832088177,1,land,terra,3,6246.1296141372595,False,False,True
86861,-15.500415300417272,-47.92750625439754,1,land,terra,2051,6284.67851595999,False,False,True
86862,-15.500585682779858,-47.92639431017233,2,land_near_water,terra_proxima_agua,2049,6347.131996297453,False,False,True
86863,-15.500667237467175,-47.925862059007386,3,water_near_land,agua,2053,6377.620849286458,False,False,True
86864,-15.50066296134159,-47.92588997406142,3,water_near_land,agua,5,6376.012274445966,False,False,True
86865,-15.500616298245818,-47.9261945243241,2,land_near_water,terra_proxima_agua,3,6358.53145887645,False,False,True
86866,-15.500524823227085,-47.926791526155284,2,land_near_water,terra_proxima_agua,0,6324.627091928015,False,False,True
86867,-15.500458273626766,-47.927225850219145,3,water_near_land,agua,4,6300.266825742373,False,False,True
86868,-15.500453031578344,-47.92726006940512,3,water_near_land,agua,4,6298.358480661944,False,False,True
86869,-15.500511742836943,-47.92687691832316,2,land_near_water,terra_proxima_agua,2,6319.816868731909,False,False,True
86870,-15.49998251209669,-47.930330609844646,1,land,terra,2,6133.901355250036,False,False,True
86871,-15.499035927227139,-47.936508437506575,1,land,terra,3,5846.893059470005,False,False,True
86872,-15.499273351689679,-47.93495940985622,1,land,terra,3,5912.997416504719,False,False,True
86873,-15.49958385325085,-47.932933483691215,1,land,terra,3,6005.485290654985,False,False,True
86874,-15.499564742408737,-47.93305818469082,1,land,terra,3,5999.600007534952,False,False,True
86875,-15.499740194669842,-47.93191335985432,1,land,terra,3,6054.5547167539235,False,False,True
86876,-15.49916458845934,-47.93566904510129,1,land,terra,3,5882.2073813817515,False,False,True
86877,-15.499404641275495,-47.934102823583885,1,land,terra,3,5951.28292716759,False,False,True
86878,-15.499398163430625,-47.934145093844165,1,land,terra,1,5949.365146684762,False,False,True
86879,-15.494573923529025,-47.96561515822856,1,land,terra,1,4747.544003429704,False,True,True
86880,-15.494622691057575,-47.96529731786529,1,land,terra,3,4751.124902874903,False,True,True
86881,-15.494643677912,-47.96516055489087,1,land,terra,2051,4752.741902702644,False,True,True
86882,-15.494383602998605,-47.966856696569494,1,land,terra,2049,4735.928110114447,False,True,True
86883,-15.49417871405288,-47.96819206981456,1,land,terra,1,4727.725532209863,False,True,True
86884,-15.494120829458438,-47.968569326113936,1,land,terra,1,4726.213739448977,False,True,True
86885,-15.493694949907077,-47.97134479301849,1,land,terra,1,4726.033642370537,False,True,True
86886,-15.49360176904559,-47.97195202269819,1,land,terra,3,4728.562628693751,False,True,True
86887,-15.494186234568016,-47.9681430630165,1,land,terra,1,4727.947872539249,False,True,True
86888,-15.493433520437028,-47.97304841452984,1,land,terra,1,4735.457553867806,False,True,True
86889,-15.493514520338897,-47.97252058731959,1,land,terra,1,4731.764493125065,False,True,True
86890,-15.493477610109144,-47.97276111271424,1,land,terra,1,4733.36139803302,False,True,True
86891,-15.493557648498918,-47.97223954626946,1,land,terra,1,4730.08099603459,False,True,True
86892,-15.493631145925665,-47.971760596019976,1,land,terra,1,4727.665806623598,False,True,True
86893,-15.493355011606772,-47.97356028569584,1,land,terra,1,4739.695154378738,False,True,True
86894,-15.49365349167483,-47.971615341271956,1,land,terra,1,4727.040326812451,False,True,True
86895,-15.493550178497154,-47.97228867964088,1,land,terra,2049,4730.35342008287,False,True,True
86896,-15.493487876601318,-47.9726947569884,1,land,terra,2049,4732.897234567723,False,True,True
86897,-15.493469802214026,-47.97281262572079,1,land,terra,3,4733.711405775708,False,True,True
86898,-15.493462295971481,-47.97286162782246,1,land,terra,2049,4734.059179299955,False,True,True
86899,-15.493505940286793,-47.97257731108982,1,land,terra,2049,4732.114390855209,False,True,True
86900,-15.493672472534243,-47.9714921794594,1,land,terra,2049,4726.547534703258,False,True,True
86901,-15.493724760366504,-47.97115152228446,1,land,terra,2049,4725.405160402474,False,True,True
86902,-15.493728045360298,-47.9711302031406,1,land,terra,2049,4725.341915997231,False,True,True
86903,-15.492894381282147,-47.976562604761284,1,land,terra,3,4777.559357550406,False,True,True
86904,-15.492850088121367,-47.97685128876708,1,land,terra,1,4782.358721727925,False,True,True
86905,-15.490762890189144,-47.990452825364,2,land_near_water,terra_proxima_agua,0,5221.698866371375,False,False,True
86906,-15.490876741555347,-47.989711383097415,1,land,terra,0,5187.847463444577,False,False,True
86907,-15.490828428100215,-47.99002630364686,1,land,terra,0,5202.095156143076,False,False,True
86908,-15.490145647327004,-47.99447435583329,1,land,terra,0,5422.501334258187,False,False,True
86909,-15.490549462169902,-47.99184468855441,1,land,terra,2,5287.948813917853,False,False,True
86910,-15.49071286898224,-47.990780512403376,1,land,terra,1,5236.954012371583,False,False,True
86911,-15.490424886545643,-47.99265596994309,1,land,terra,1,5328.185283146794,False,False,True
86912,-15.4903965147573,-47.992840737336685,1,land,terra,2051,5337.510431207078,False,False,True
86913,-15.490552936170394,-47.991822087288824,1,land,terra,2051,5286.844195382571,False,False,True
86914,-15.490681412473334,-47.990985397478546,1,land,terra,2051,5246.611769149547,False,False,True
86915,-15.49074954534337,-47.990541681957325,1,land,terra,2051,5225.792620970413,False,False,True
86916,-15.48981080779342,-47.996654730223554,1,land,terra,2049,5542.780300667598,False,False,True
86917,-15.490689961988961,-47.990929735344594,1,land,terra,2049,5243.98001824219,False,False,True
86918,-15.486425203762597,-48.01869997797877,1,land,terra,3,7097.256363145995,False,False,True
86919,-15.487283581017493,-48.01311436691742,1,land,terra,3,6656.20816219223,False,False,True
86920,-15.487195035716894,-48.01369063528938,1,land,terra,2049,6700.5063882454,False,False,True
86921,-15.486515282899981,-48.01811398350327,1,land,terra,2049,7049.822155283415,False,False,True
86922,-15.486504775131483,-48.0181823906575,1,land,terra,2049,7055.345579784343,False,False,True
86923,-15.484577522889813,-48.03072506288067,1,land,terra,1,8119.951963854029,False,False,True
86924,-15.485481032879525,-48.024848123654294,1,land,terra,3,7609.205154305299,False,False,True
86925,-15.483073232622129,-48.04051211152228,1,land,terra,2049,9006.911139665428,False,False,True
86926,-15.483098083310994,-48.04035054516868,1,land,terra,2049,8991.955529835423,False,False,True
86927,-15.483105878339972,-48.04029987632617,1,land,terra,2051,8987.267131688493,False,False,True
86928,-15.482986251879836,-48.041077699676634,1,land,terra,2049,9059.338557986324,False,False,True
86929,-15.483438592186424,-48.03813660675286,1,land,terra,1,8787.995085197892,False,False,True
86930,-15.48322966876015,-48.03949514441467,1,land,terra,0,8912.931977818946,False,False,True
86931,-15.483259555876288,-48.03930085517209,1,land,terra,0,8895.020901769336,False,False,True
86932,-15.483251282190093,-48.03935470212622,1,land,terra,0,8899.982825112886,False,False,True
86933,-15.48327819396285,-48.03917976885833,1,land,terra,2,8883.864536143388,False,False,True
86934,-15.483192825109246,-48.03973514710145,1,land,terra,1,8935.071195451736,False,False,True
86935,-15.483082638751105,-48.04045163127785,1,land,terra,3,9001.304121189172,False,False,True
86936,-15.482955893332758,-48.04127576113228,1,land,terra,1,9077.71762845503,False,False,True
86937,-15.482834018557895,-48.0420681868556,1,land,terra,3,9151.417794808,False,False,True
86938,-15.482570128654789,-48.04378614866875,1,land,terra,1,9311.909966351612,False,False,True
86939,-15.482373563921639,-48.04506406807309,1,land,terra,3,9431.940567317883,False,False,True
86940,-15.482366338115753,-48.04511106364993,1,land,terra,1,9436.364407148274,False,False,True
86941,-15.482300421125299,-48.04553961264338,1,land,terra,0,9476.738692532486,False,False,True
86942,-15.482248937392967,-48.0458743261521,1,land,terra,2,9508.312205723196,False,False,True
86943,-15.482190851818453,-48.04625195301435,1,land,terra,2,9543.975060834546,False,False,True
86944,-15.482228833195677,-48.04600515792373,1,land,terra,0,9520.661565073911,False,False,True
86945,-15.482328629677353,-48.04535756127916,1,land,terra,1,9459.565969074281,False,False,True
86946,-15.482190506145072,-48.04625550484707,1,land,terra,3,9544.296812293345,False,False,True
86947,-15.482449672217417,-48.04457069027393,1,land,terra,1,9385.522034924075,False,False,True
86948,-15.481968941635031,-48.04769585072631,1,land,terra,1,9680.717924623987,False,False,True
86949,-15.482102503713033,-48.04682763542553,1,land,terra,1,9598.411333390493,False,False,True
86950,-15.481563806854535,-48.050329408889525,1,land,terra,1,9931.6964339871,False,False,True
86951,-15.482404700496858,-48.04486318888638,1,land,terra,1,9413.021522054893,False,False,True
86952,-15.481523100141954,-48.0505940871202,1,land,terra,1,9957.025294601637,False,False,True
86953,-15.481674783616896,-48.04960817227186,1,land,terra,1,9862.768980869152,False,False,True
86954,-15.481554738542535,-48.050388504037414,1,land,terra,2049,9937.348652010203,False,False,True
86955,-15.500509995096538,-47.925591225113294,1,land,terra,3,6409.851547946827,False,False,True
86956,-15.500505398376973,-47.92562123115903,1,land,terra,3,6408.118006359317,False,False,True
86957,-15.50039449189397,-47.92634505781484,1,land,terra,3,6366.665413472037,False,False,True
86958,-15.50048584469653,-47.925748858989664,1,land,terra,3,6400.758043064285,False,False,True
86959,-15.500549498169521,-47.925333430044255,1,land,terra,3,6424.793229678887,False,False,True
86960,-15.500675034608589,-47.92451410515242,1,land,terra,3,6472.858449306905,False,False,True
86961,-15.500384941674621,-47.92640740828506,1,land,terra,1,6363.127288652152,False,False,True
86962,-15.500352564928633,-47.926618714257756,1,land,terra,1,6351.1766326610505,False,False,True
86963,-15.50025166089696,-47.92727724014435,1,land,terra,2051,6314.324092590048,False,False,True
86964,-15.500445867310695,-47.926009802940655,2,land_near_water,terra_proxima_agua,2049,6385.777371205523,False,False,True
86965,-15.500536304551709,-47.92541957449589,2,land_near_water,terra_proxima_agua,3,6419.7900423867795,False,False,True
86966,-15.500264281767661,-47.927194896851745,1,land,terra,1,6318.89928955552,False,False,True
86967,-15.500241102116966,-47.927346179724736,1,land,terra,0,6310.500196728143,False,False,True
86968,-15.500325951230403,-47.92679245148406,2,land_near_water,terra_proxima_agua,0,6341.395607889426,False,False,True
86969,-15.500285356946668,-47.92705739072102,2,land_near_water,terra_proxima_agua,0,6326.560374514613,False,False,True
86970,-15.500087109674068,-47.928351173834244,1,land,terra,0,6255.515632792971,False,False,True
86971,-15.49920935386903,-47.934080227256345,1,land,terra,2,5970.636263667627,False,False,True
86972,-15.4998050406056,-47.930193322632874,1,land,terra,3,6158.469828258969,False,False,True
86973,-15.499143569337607,-47.93450946022307,1,land,terra,3,5951.36984100724,False,False,True
86974,-15.499099836842879,-47.934794801861244,1,land,terra,3,5938.730428798984,False,False,True
86975,-15.499077710256028,-47.93493917340476,1,land,terra,3,5932.38688537618,False,False,True
86976,-15.499736445657048,-47.930640961668985,1,land,terra,3,6135.647719012814,False,False,True
86977,-15.49981501421701,-47.93012827094526,1,land,terra,3,6161.810855843006,False,False,True
86978,-15.49882534006068,-47.93658573427638,1,land,terra,3,5862.527014602249,False,False,True
86979,-15.494356006276714,-47.96574032326362,1,land,terra,1,4767.504812621788,False,True,True
86980,-15.493980764935744,-47.968186987845,1,land,terra,3,4749.328070932101,False,True,True
86981,-15.493897140007357,-47.96873200184399,1,land,terra,3,4747.303692186057,False,True,True
86982,-15.493858166710606,-47.96898600277166,1,land,terra,0,4746.612666485192,False,True,True
86983,-15.493678989265856,-47.97015372234341,1,land,terra,1,4745.502984334258,False,True,True
86984,-15.493918107126758,-47.968595359328106,1,land,terra,1,4747.741726474961,False,True,True
86985,-15.494044030562016,-47.96777466856031,1,land,terra,1,4751.349881438141,False,True,True
86986,-15.493626201835943,-47.970497741195004,1,land,terra,1,4745.823709930549,False,True,True
86987,-15.49331066913943,-47.972553970092065,1,land,terra,3,4753.881625346631,False,True,True
86988,-15.493343333555517,-47.97234111496232,1,land,terra,3,4752.560094983522,False,True,True
86989,-15.493308026839278,-47.97257163828567,1,land,terra,2049,4753.988757138832,False,True,True
86990,-15.493443388288977,-47.97168963889993,1,land,terra,2049,4749.20497953371,False,True,True
86991,-15.49340952556537,-47.971910401046046,1,land,terra,1,4750.2192228890535,False,True,True
86992,-15.493392660592542,-47.97202039485569,1,land,terra,2049,4750.7689711788125,False,True,True
86993,-15.493325060292365,-47.97246100625546,1,land,terra,2049,4753.276856355905,False,True,True
86994,-15.49353932806417,-47.971064793999176,1,land,terra,2049,4746.9805138328575,False,True,True
86995,-15.493611479080585,-47.970594691741894,1,land,terra,2049,4745.950480780168,False,True,True
86996,-15.49043915555168,-47.99126681280086,1,land,terra,2049,5281.075763787605,False,False,True
86997,-15.490606118890401,-47.99017946856293,1,land,terra,2049,5230.267638525976,False,False,True
86998,-15.490596708119766,-47.99024077803467,1,land,terra,1,5233.074148517129,False,False,True
86999,-15.490705063899181,-47.98953511213608,1,land,terra,1,5201.19247365968,False,False,True
87000,-15.490696789820761,-47.989589037386,1,land,terra,0,5203.5951038513185,False,False,True
